city,indicator_group,indicator_name,value,display,unit,year,source,note,severity,display_order
All,headline,Refugee households surveyed,846,,households,2025–2026,"REACH/IMPACT PCP rounds, four cities",Coverage,,1
All,headline,Household members covered,2143,,people,2025–2026,"REACH/IMPACT PCP rounds, four cities",Coverage,,2
All,headline,Lack public health insurance or unsure of eligibility,,83–89%,%,2025–2026,"REACH/IMPACT PCP rounds, four cities",Shared gap — range across the four cities,,3
All,headline,Out of work because of care responsibilities,,1 in 5+,,2025–2026,"REACH/IMPACT PCP rounds, four cities",Shared barrier — in all four cities,,4
Comrat,employment,Employed or self-employed,11.7,,%,2025,"REACH/IMPACT PCP Comrat, Apr 2025 (N=103 HH)",% of respondents,,1
Bălți,employment,Employed or self-employed,19.0,,%,2025,"REACH/IMPACT PCP Bălți, Apr 2025 (N=105 HH)",% of respondents,,2
Chișinău,employment,Employed or self-employed,30.1,,%,2025,"REACH/IMPACT PCP Chișinău, Oct–Nov 2025 (N=532 HH)",% of respondents,,3
Cahul,employment,Employed or self-employed,40.6,,%,2026,"REACH/IMPACT PCP Cahul, Jun 2026 (N=106 HH)",% of respondents,,4
Comrat,aid_dependence,Humanitarian assistance as main household income source,53.4,,%,2025,"REACH/IMPACT PCP Comrat, Apr 2025 (N=103 HH)",% of households,,1
Bălți,aid_dependence,Humanitarian assistance as main household income source,43.8,,%,2025,"REACH/IMPACT PCP Bălți, Apr 2025 (N=105 HH)",% of households,,2
Chișinău,aid_dependence,Humanitarian assistance as main household income source,38.2,,%,2025,"REACH/IMPACT PCP Chișinău, Oct–Nov 2025 (N=532 HH)",% of households,,3
Cahul,aid_dependence,Humanitarian assistance as main household income source,2.8,,%,2026,"REACH/IMPACT PCP Cahul, Jun 2026 (N=106 HH)",timing: surveyed after humanitarian cash phase-down,,4
Comrat,employment_income,Employment as main household income source,13.6,,%,2025,"REACH/IMPACT PCP Comrat, Apr 2025 (N=103 HH)",% of households,,1
Bălți,employment_income,Employment as main household income source,22.9,,%,2025,"REACH/IMPACT PCP Bălți, Apr 2025 (N=105 HH)",% of households,,2
Chișinău,employment_income,Employment as main household income source,27.8,,%,2025,"REACH/IMPACT PCP Chișinău, Oct–Nov 2025 (N=532 HH)",% of households,,3
Cahul,employment_income,Employment as main household income source,59.4,,%,2026,"REACH/IMPACT PCP Cahul, Jun 2026 (N=106 HH)",timing: surveyed after humanitarian cash phase-down,,4
Comrat,sample,Households surveyed,103,,households,2025,"REACH/IMPACT PCP Comrat, Apr 2025 (N=103 HH)",Apr 2025,,1
Bălți,sample,Households surveyed,105,,households,2025,"REACH/IMPACT PCP Bălți, Apr 2025 (N=105 HH)",Apr 2025,,2
Chișinău,sample,Households surveyed,532,,households,2025,"REACH/IMPACT PCP Chișinău, Oct–Nov 2025 (N=532 HH)",Oct–Nov 2025,,3
Cahul,sample,Households surveyed,106,,households,2026,"REACH/IMPACT PCP Cahul, Jun 2026 (N=106 HH)",Jun 2026,,4
